session_id,timestamp,has_uploaded_resume,has_uploaded_jd,completed_intro,completed_q1,completed_q2,completed_q3,completed_q4,completed_q5,interrupt_at,total_answer_chars,is_returning
session_001,2024-01-15 10:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1200,FALSE
session_002,2024-01-15 10:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,800,FALSE
session_003,2024-01-15 11:00:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
session_004,2024-01-15 11:30:00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,450,FALSE
session_005,2024-01-15 14:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,950,TRUE
session_006,2024-01-15 14:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1500,TRUE
session_007,2024-01-15 15:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
session_008,2024-01-15 15:30:00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,200,FALSE
session_009,2024-01-15 16:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1100,FALSE
session_010,2024-01-15 16:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,600,FALSE
session_011,2024-01-16 09:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1300,FALSE
session_012,2024-01-16 09:30:00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,350,FALSE
session_013,2024-01-16 10:00:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
session_014,2024-01-16 10:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,850,TRUE
session_015,2024-01-16 11:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1400,FALSE
session_016,2024-01-16 14:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
session_017,2024-01-16 14:30:00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,180,FALSE
session_018,2024-01-16 15:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1250,TRUE
session_019,2024-01-16 15:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,550,FALSE
session_020,2024-01-16 16:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1000,FALSE
